Macrotrends Data Download

CME Japanese Yen JPY Futures #1 (JY1)

All contracts are Front Month | Calendar-Weighted Adjusted Prices,
Roll on First of Month | Continuous Contract History.

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1978-12-22,5277.0000
1978-12-26,5265.0000
1978-12-27,5279.0000
1978-12-28,5295.0000
1978-12-29,5270.0000
1979-01-02,5272.0000
1979-01-03,5207.0000
1979-01-04,5202.0000
1979-01-05,5196.0000
1979-01-08,5228.0000
1979-01-09,5180.0000
1979-01-10,5184.0000
1979-01-11,5112.0000
1979-01-12,5142.0000
1979-01-15,5143.0000
1979-01-16,5169.0000
1979-01-17,5174.0000
1979-01-18,5168.0000
1979-01-19,5123.0000
1979-01-22,5138.0000
1979-01-23,5131.0000
1979-01-24,5126.0000
1979-01-25,5094.0000
1979-01-26,5062.0000
1979-01-29,5062.0000
1979-01-30,5026.0000
1979-01-31,4995.0000
1979-02-01,5025.0000
1979-02-02,5019.0000
1979-02-05,5073.0000
1979-02-06,5096.0000
1979-02-07,5171.0000
1979-02-08,5094.0000
1979-02-09,5067.0000
1979-02-12,5047.0000
1979-02-13,5032.0000
1979-02-14,5034.0000
1979-02-15,5023.0000
1979-02-16,5005.0000
1979-02-20,5000.0000
1979-02-21,4977.0000
1979-02-22,4988.0000
1979-02-23,5013.4000
1979-02-26,4999.6000
1979-02-27,5020.6000
1979-02-28,5030.6000
1979-03-01,5003.0000
1979-03-02,4969.0000
1979-03-05,4986.0000
1979-03-06,4984.0000
1979-03-07,4989.0000
1979-03-08,4977.0000
1979-03-09,4959.0000
1979-03-12,4934.0000
1979-03-13,4880.0000
1979-03-14,4882.0000
1979-03-15,4904.0000
1979-03-16,4883.0000
1979-03-19,4889.0000
1979-03-20,4883.0000
1979-03-21,4905.0000
1979-03-22,4932.0000
1979-03-23,4915.0000
1979-03-26,4888.0000
1979-03-27,4890.0000
1979-03-28,4868.0000
1979-03-29,4843.0000
1979-03-30,4813.0000
1979-04-02,4763.0000
1979-04-03,4697.0000
1979-04-04,4699.0000
1979-04-05,4687.0000
1979-04-06,4716.0000
1979-04-09,4725.0000
1979-04-10,4754.0000
1979-04-11,4727.0000
1979-04-12,4674.0000
1979-04-16,4641.0000
1979-04-17,4622.0000
1979-04-18,4689.0000
1979-04-19,4654.0000
1979-04-20,4602.0000
1979-04-23,4621.0000
1979-04-24,4612.0000
1979-04-25,4633.0000
1979-04-26,4618.0000
1979-04-27,4581.0000
1979-04-30,4540.0000
1979-05-01,4485.0000
1979-05-02,4471.0000
1979-05-03,4489.0000
1979-05-04,4551.0000
1979-05-07,4651.0000
1979-05-08,4691.0000
1979-05-09,4728.0000
1979-05-10,4682.0000
1979-05-11,4750.0000
1979-05-14,4698.0000
1979-05-15,4699.0000
1979-05-16,4686.0000
1979-05-17,4628.0000
1979-05-18,4582.0000
1979-05-21,4594.0000
1979-05-22,4586.0000
1979-05-23,4585.0000
1979-05-24,4588.0000
1979-05-25,4570.6000
1979-05-29,4532.6000
1979-05-30,4595.0000
1979-05-31,4579.8000
1979-06-01,4582.0000
1979-06-04,4620.0000
1979-06-05,4593.0000
1979-06-06,4612.0000
1979-06-07,4617.0000
1979-06-08,4649.0000
1979-06-11,4629.0000
1979-06-12,4605.0000
1979-06-13,4585.0000
1979-06-14,4591.0000
1979-06-15,4627.0000
1979-06-18,4609.0000
1979-06-19,4644.0000
1979-06-20,4622.0000
1979-06-21,4662.0000
1979-06-22,4703.0000
1979-06-25,4752.0000
1979-06-26,4675.0000
1979-06-27,4657.0000
1979-06-28,4659.0000
1979-06-29,4627.0000
1979-07-02,4625.0000
1979-07-03,4647.0000
1979-07-05,4676.0000
1979-07-06,4634.0000
1979-07-09,4656.0000
1979-07-10,4636.0000
1979-07-11,4642.0000
1979-07-12,4659.0000
1979-07-13,4635.0000
1979-07-16,4668.0000
1979-07-17,4666.0000
1979-07-18,4737.0000
1979-07-19,4681.0000
1979-07-20,4659.0000
1979-07-23,4675.0000
1979-07-24,4719.0000
1979-07-25,4683.0000
1979-07-26,4692.0000
1979-07-27,4686.0000
1979-07-30,4616.0000
1979-07-31,4634.0000
1979-08-01,4655.0000
1979-08-02,4640.0000
1979-08-03,4645.0000
1979-08-06,4645.0000
1979-08-07,4648.0000
1979-08-08,4650.0000
1979-08-09,4650.0000
1979-08-10,4663.0000
1979-08-13,4636.0000
1979-08-14,4640.0000
1979-08-15,4632.0000
1979-08-16,4628.0000
1979-08-17,4609.0000
1979-08-20,4614.0000
1979-08-21,4608.0000
1979-08-22,4574.0000
1979-08-23,4585.0000
1979-08-24,4559.0000
1979-08-27,4539.0000
1979-08-28,4558.6000
1979-08-29,4528.0000
1979-08-30,4588.4000
1979-08-31,4614.8000
1979-09-04,4576.0000
1979-09-05,4579.0000
1979-09-06,4599.0000
1979-09-07,4591.0000
1979-09-10,4596.0000
1979-09-11,4572.0000
1979-09-12,4563.0000
1979-09-13,4538.0000
1979-09-14,4533.0000
1979-09-17,4537.0000
1979-09-18,4523.0000
1979-09-19,4535.0000
1979-09-20,4618.0000
1979-09-21,4557.0000
1979-09-24,4539.0000
1979-09-25,4546.0000
1979-09-26,4545.0000
1979-09-27,4518.0000
1979-09-28,4499.0000
1979-10-01,4481.0000
1979-10-02,4496.0000
1979-10-03,4515.0000
1979-10-04,4537.0000
1979-10-05,4524.0000
1979-10-08,4447.0000
1979-10-09,4490.0000
1979-10-10,4503.0000
1979-10-11,4478.0000
1979-10-12,4452.0000
1979-10-15,4396.0000
1979-10-16,4350.0000
1979-10-17,4325.0000
1979-10-18,4332.0000
1979-10-19,4382.0000
1979-10-22,4327.0000
1979-10-23,4312.0000
1979-10-24,4321.0000
1979-10-25,4315.0000
1979-10-26,4317.0000
1979-10-29,4273.0000
1979-10-30,4245.0000
1979-10-31,4277.0000
1979-11-01,4235.0000
1979-11-02,4304.0000
1979-11-05,4255.0000
1979-11-06,4243.0000
1979-11-07,4202.0000
1979-11-08,4183.0000
1979-11-09,4139.0000
1979-11-12,4050.0000
1979-11-13,4070.0000
1979-11-14,4118.0000
1979-11-15,4066.0000
1979-11-16,4090.0000
1979-11-19,4090.0000
1979-11-20,4082.0000
1979-11-21,4056.0000
1979-11-23,4033.0000
1979-11-26,3999.0000
1979-11-27,4032.6000
1979-11-28,4045.0000
1979-11-29,4055.8000
1979-11-30,4057.8000
1979-12-03,4082.0000
1979-12-04,4108.0000
1979-12-05,4138.0000
1979-12-06,4159.0000
1979-12-07,4236.0000
1979-12-10,4336.0000
1979-12-11,4308.0000
1979-12-12,4275.0000
1979-12-13,4217.0000
1979-12-14,4159.0000
1979-12-17,4257.0000
1979-12-18,4239.0000
1979-12-19,4244.0000
1979-12-20,4284.0000
1979-12-21,4223.0000
1979-12-26,4246.0000
1979-12-27,4229.0000
1979-12-28,4197.0000
